sanitizer 	sample 	chl.added	chl.measured.ave	chl.measured.se	CLD.ave	CLD.se
accutab	ag1	2	0.85	0.11	1.15	0.11
accutab	ag1	4	2.87	0.19	1.13	0.19
accutab	ag1	10	8.23	0.36	1.77	0.36
accutab	ag1	15	11.77	0.58	3.23	0.58
accutab	ag1	20	16.4	0.41	3.6	0.41
accutab	ag1	30	25.65	0.35	4.35	0.35
accutab	ag1	40	35.85	0.65	4.15	0.65
accutab	ag2	2	0.27	0.05	1.73	0.05
accutab	ag2	4	0.32	0.07	3.68	0.07
accutab	ag2	10	3.58	0.4	6.42	0.4
accutab	ag2	15	8.08	0.43	6.92	0.43
accutab	ag2	20	13.4	1.21	6.6	1.21
accutab	ag2	30	23.2	0.9	6.8	0.9
accutab	ag2	40	32.85	0.45	7.15	0.45
accutab	di	2	1.83	0.07	0.18	0.07
accutab	di	4	4.07	0.08	-0.07	0.08
accutab	di	10	9.17	0.09	0.83	0.09
accutab	di	15	14.28	0.25	0.72	0.25
accutab	di	20	18.29	0.42	1.71	0.42
accutab	di	30	27.95	0.55	2.05	0.55
accutab	di	40	38.15	0.85	1.85	0.85
accutab	ag3	2	0.4	0.04	1.6	0.04
accutab	ag3	4	1.85	0.21	2.15	0.21
accutab	ag3	10	7.65	0.42	2.35	0.42
accutab	ag3	15	12.6	0.47	2.4	0.47
accutab	ag3	20	17.25	1.15	2.75	1.15
accutab	ag4	2	0.35	0.03	1.65	0.03
accutab	ag4	4	0.35	0.03	3.65	0.03
accutab	ag4	10	3.75	0.2	6.25	0.2
accutab	ag4	15	7.6	0.55	7.4	0.55
accutab	ag4	20	11.1	0.76	8.9	0.76
sanidate	ag3	6	5.91	0.23	0.09	0.23
sanidate	ag3	10	9.63	0.14	0.37	0.14
sanidate	ag3	20	19.68	0.69	0.32	0.69
sanidate	ag3	30	30.69	1.01	-0.69	1.01
sanidate	ag3	40	40.11	0.46	-0.11	0.46
sanidate	ag3	50	46.12	0.65	3.88	0.65
sanidate	ag4	6	5.48	0.47	0.52	0.47
sanidate	ag4	10	8.34	0.71	1.66	0.71
sanidate	ag4	20	17.71	0.93	2.29	0.93
sanidate	ag4	30	29.05	0.86	0.95	0.86
sanidate	ag4	40	36.81	0.48	3.19	0.48
sanidate	ag4	50	47.84	0.75	2.16	0.75
sanidate	di	6	5.57	0.17	0.43	0.17
sanidate	di	10	8.82	0.11	1.19	0.11
sanidate	di	20	18.29	0.3	1.72	0.3
sanidate	di	30	29.06	0.75	0.94	0.75
sanidate	di	40	36.38	0.76	3.63	0.76
sanidate	di	50	47.94	1.65	2.06	1.65
