sanitizer	chl.added	chl.measured	sample	temp	time	microb	assay	survival	rep
accutab	0	0.0	ag1	12	5	tv	plaque	5.308	1
accutab	0	0.0	ag1	12	5	tv	plaque	5.17	2
accutab	0	0.0	ag1	12	5	tv	plaque	5.005	3
accutab	4	2.9	ag1	12	5	tv	plaque	4.872	1
accutab	4	2.9	ag1	12	5	tv	plaque	4.602	2
accutab	4	2.9	ag1	12	5	tv	plaque	4.878	3
accutab	10	8.2	ag1	12	5	tv	plaque	4.186	1
accutab	10	8.2	ag1	12	5	tv	plaque	4.943	2
accutab	10	8.2	ag1	12	5	tv	plaque	4.786	3
accutab	20	16.4	ag1	12	5	tv	plaque	3.173	1
accutab	20	16.4	ag1	12	5	tv	plaque	3.42	2
accutab	20	16.4	ag1	12	5	tv	plaque	4.627	3
accutab	30	25.7	ag1	12	5	tv	plaque	0.347	1
accutab	30	25.7	ag1	12	5	tv	plaque	1.838	2
accutab	30	25.7	ag1	12	5	tv	plaque	0.347	3
accutab	40	35.85	ag1	12	5	tv	plaque	0.347	1
accutab	40	35.85	ag1	12	5	tv	plaque	0.347	2
accutab	40	35.85	ag1	12	5	tv	plaque	0.347	3
accutab	0	0.0	ag1	12	10	tv	plaque	5.421	1
accutab	0	0.0	ag1	12	10	tv	plaque	5.493	2
accutab	0	0.0	ag1	12	10	tv	plaque	5.338	3
accutab	4	2.9	ag1	12	10	tv	plaque	5.125	1
accutab	4	2.9	ag1	12	10	tv	plaque	5.023	2
accutab	4	2.9	ag1	12	10	tv	plaque	5.139	3
accutab	10	8.2	ag1	12	10	tv	plaque	4.276	1
accutab	10	8.2	ag1	12	10	tv	plaque	4.15	2
accutab	10	8.2	ag1	12	10	tv	plaque	4.699	3
accutab	20	16.4	ag1	12	10	tv	plaque	4.388	1
accutab	20	16.4	ag1	12	10	tv	plaque	4.639	2
accutab	20	16.4	ag1	12	10	tv	plaque	4.62	3
accutab	30	25.7	ag1	12	10	tv	plaque	1.614	1
accutab	30	25.7	ag1	12	10	tv	plaque	1.301	2
accutab	30	25.7	ag1	12	10	tv	plaque	0.347	3
accutab	40	35.85	ag1	12	10	tv	plaque	0.347	1
accutab	40	35.85	ag1	12	10	tv	plaque	1.067	2
accutab	40	35.85	ag1	12	10	tv	plaque	0.648	3
accutab	0	0.0	ag2	12	5	tv	plaque	5.166	1
accutab	0	0.0	ag2	12	5	tv	plaque	5.239	2
accutab	0	0.0	ag2	12	5	tv	plaque	5.392	3
accutab	4	0.3	ag2	12	5	tv	plaque	4.531	1
accutab	4	0.3	ag2	12	5	tv	plaque	4.21	2
accutab	4	0.3	ag2	12	5	tv	plaque	4.075	3
accutab	10	3.6	ag2	12	5	tv	plaque	3.357	1
accutab	10	3.6	ag2	12	5	tv	plaque	2.809	2
accutab	10	3.6	ag2	12	5	tv	plaque	2.564	3
accutab	20	13.4	ag2	12	5	tv	plaque	3.125	1
accutab	20	13.4	ag2	12	5	tv	plaque	1.648	2
accutab	20	13.4	ag2	12	5	tv	plaque	0.523	3
accutab	30	23.2	ag2	12	5	tv	plaque	0.347	1
accutab	30	23.2	ag2	12	5	tv	plaque	0.347	2
accutab	30	23.2	ag2	12	5	tv	plaque	0.347	3
accutab	40	32.85	ag2	12	5	tv	plaque	0.347	1
accutab	40	32.85	ag2	12	5	tv	plaque	0.347	2
accutab	40	32.85	ag2	12	5	tv	plaque	0.347	3
accutab	0	0.0	ag2	12	10	tv	plaque	5.236	1
accutab	0	0.0	ag2	12	10	tv	plaque	5.16	2
accutab	0	0.0	ag2	12	10	tv	plaque	5.325	3
accutab	4	0.3	ag2	12	10	tv	plaque	4.494	1
accutab	4	0.3	ag2	12	10	tv	plaque	4.143	2
accutab	4	0.3	ag2	12	10	tv	plaque	4.204	3
accutab	10	3.6	ag2	12	10	tv	plaque	3.125	1
accutab	10	3.6	ag2	12	10	tv	plaque	3.306	2
accutab	10	3.6	ag2	12	10	tv	plaque	3.349	3
accutab	20	13.4	ag2	12	10	tv	plaque	3.046	1
accutab	20	13.4	ag2	12	10	tv	plaque	1	2
accutab	20	13.4	ag2	12	10	tv	plaque	0.347	3
accutab	30	23.2	ag2	12	10	tv	plaque	0.347	1
accutab	30	23.2	ag2	12	10	tv	plaque	0.347	2
accutab	30	23.2	ag2	12	10	tv	plaque	0.347	3
accutab	40	32.85	ag2	12	10	tv	plaque	0.523	1
accutab	40	32.85	ag2	12	10	tv	plaque	0.347	2
accutab	40	32.85	ag2	12	10	tv	plaque	0.347	3
accutab	0	0.0	di	12	5	tv	plaque	5.229	1
accutab	0	0.0	di	12	5	tv	plaque	5.087	2
accutab	0	0.0	di	12	5	tv	plaque	5.299	3
accutab	2	1.8	di	12	5	tv	plaque	2.927	1
accutab	2	1.8	di	12	5	tv	plaque	2.679	2
accutab	2	1.8	di	12	5	tv	plaque	2	3
accutab	4	4.1	di	12	5	tv	plaque	1.786	1
accutab	4	4.1	di	12	5	tv	plaque	1.903	2
accutab	4	4.1	di	12	5	tv	plaque	1.276	3
accutab	10	9.2	di	12	5	tv	plaque	0.347	1
accutab	10	9.2	di	12	5	tv	plaque	0.347	2
accutab	10	9.2	di	12	5	tv	plaque	0.347	3
accutab	0	0.0	ag1	12	5	ecoli	plate	6.58	1
accutab	0	0.0	ag1	12	5	ecoli	plate	6.712	2
accutab	0	0.0	ag1	12	5	ecoli	plate	6.866	3
accutab	2	0.9	ag1	12	5	ecoli	plate	3.243	1
accutab	2	0.9	ag1	12	5	ecoli	plate	3.978	2
accutab	2	0.9	ag1	12	5	ecoli	plate	3.161	3
accutab	4	2.9	ag1	12	5	ecoli	plate	2.568	1
accutab	4	2.9	ag1	12	5	ecoli	plate	2.322	2
accutab	4	2.9	ag1	12	5	ecoli	plate	2.851	3
accutab	10	8.2	ag1	12	5	ecoli	plate	2.29	1
accutab	10	8.2	ag1	12	5	ecoli	plate	1.699	2
accutab	10	8.2	ag1	12	5	ecoli	plate	1.813	3
accutab	15	11.8	ag1	12	5	ecoli	plate	1.778	1
accutab	15	11.8	ag1	12	5	ecoli	plate	2.13	2
accutab	15	11.8	ag1	12	5	ecoli	plate	1	3
accutab	0	0.0	ag1	12	10	ecoli	plate	6.562	1
accutab	0	0.0	ag1	12	10	ecoli	plate	6.525	2
accutab	0	0.0	ag1	12	10	ecoli	plate	6.5	3
accutab	2	0.9	ag1	12	10	ecoli	plate	4.563	1
accutab	2	0.9	ag1	12	10	ecoli	plate	4.09	2
accutab	2	0.9	ag1	12	10	ecoli	plate	3.279	3
accutab	4	2.9	ag1	12	10	ecoli	plate	2.176	1
accutab	4	2.9	ag1	12	10	ecoli	plate	1	2
accutab	4	2.9	ag1	12	10	ecoli	plate	1	3
accutab	10	8.2	ag1	12	10	ecoli	plate	1	1
accutab	10	8.2	ag1	12	10	ecoli	plate	1	2
accutab	10	8.2	ag1	12	10	ecoli	plate	1	3
accutab	15	11.8	ag1	12	10	ecoli	plate	1	1
accutab	15	11.8	ag1	12	10	ecoli	plate	1	2
accutab	15	11.8	ag1	12	10	ecoli	plate	1	3
accutab	0	0.0	ag2	12	5	ecoli	plate	6.55	1
accutab	0	0.0	ag2	12	5	ecoli	plate	6.613	2
accutab	0	0.0	ag2	12	5	ecoli	plate	6.268	3
accutab	2	0.3	ag2	12	5	ecoli	plate	5.892	1
accutab	2	0.3	ag2	12	5	ecoli	plate	5.878	2
accutab	2	0.3	ag2	12	5	ecoli	plate	5.842	3
accutab	4	0.3	ag2	12	5	ecoli	plate	3.049	1
accutab	4	0.3	ag2	12	5	ecoli	plate	3.161	2
accutab	4	0.3	ag2	12	5	ecoli	plate	2.633	3
accutab	10	8.2	ag2	12	5	ecoli	plate	2.114	1
accutab	10	8.2	ag2	12	5	ecoli	plate	1	2
accutab	10	8.2	ag2	12	5	ecoli	plate	1	3
accutab	15	8.1	ag2	12	5	ecoli	plate	1.477	1
accutab	15	8.1	ag2	12	5	ecoli	plate	1	2
accutab	15	8.1	ag2	12	5	ecoli	plate	1	3
accutab	20	13.4	ag2	12	5	ecoli	plate	1	1
accutab	20	13.4	ag2	12	5	ecoli	plate	1	2
accutab	20	13.4	ag2	12	5	ecoli	plate	1	3
accutab	0	0.0	ag2	12	10	ecoli	plate	6.47	1
accutab	0	0.0	ag2	12	10	ecoli	plate	6.439	2
accutab	0	0.0	ag2	12	10	ecoli	plate	6.223	3
accutab	2	0.3	ag2	12	10	ecoli	plate	5.377	1
accutab	2	0.3	ag2	12	10	ecoli	plate	5.836	2
accutab	2	0.3	ag2	12	10	ecoli	plate	5.618	3
accutab	4	0.3	ag2	12	10	ecoli	plate	3.23	1
accutab	4	0.3	ag2	12	10	ecoli	plate	2.176	2
accutab	4	0.3	ag2	12	10	ecoli	plate	2.732	3
accutab	10	8.2	ag2	12	10	ecoli	plate	1.477	1
accutab	10	8.2	ag2	12	10	ecoli	plate	1	2
accutab	10	8.2	ag2	12	10	ecoli	plate	1	3
accutab	15	8.1	ag2	12	10	ecoli	plate	1.699	1
accutab	15	8.1	ag2	12	10	ecoli	plate	1	2
accutab	15	8.1	ag2	12	10	ecoli	plate	1	3
accutab	20	13.4	ag2	12	10	ecoli	plate	1	1
accutab	20	13.4	ag2	12	10	ecoli	plate	1	2
accutab	20	13.4	ag2	12	10	ecoli	plate	1	3
accutab	0	0.0	di	12	5	ecoli	plate	6.76	1
accutab	0	0.0	di	12	5	ecoli	plate	6.602	2
accutab	0	0.0	di	12	5	ecoli	plate	6.643	3
accutab	2	1.8	di	12	5	ecoli	plate	1.544	1
accutab	2	1.8	di	12	5	ecoli	plate	2.301	2
accutab	2	1.8	di	12	5	ecoli	plate	1.954	3
accutab	4	4.1	di	12	5	ecoli	plate	1	1
accutab	4	4.1	di	12	5	ecoli	plate	1.602	2
accutab	4	4.1	di	12	5	ecoli	plate	1	3
accutab	10	9.2	di	12	5	ecoli	plate	1	1
accutab	10	9.2	di	12	5	ecoli	plate	1	2
accutab	10	9.2	di	12	5	ecoli	plate	1	3
accutab	15	14.3	di	12	5	ecoli	plate	1	1
accutab	15	14.3	di	12	5	ecoli	plate	1	2
accutab	15	14.3	di	12	5	ecoli	plate	1	3
accutab	0	0.0	di	12	10	ecoli	plate	6.47	1
accutab	0	0.0	di	12	10	ecoli	plate	6.114	2
accutab	0	0.0	di	12	10	ecoli	plate	6.6	3
accutab	2	1.8	di	12	10	ecoli	plate	1.778	1
accutab	2	1.8	di	12	10	ecoli	plate	1	2
accutab	2	1.8	di	12	10	ecoli	plate	1.6	3
accutab	4	4.1	di	12	10	ecoli	plate	1	1
accutab	4	4.1	di	12	10	ecoli	plate	1.653	2
accutab	4	4.1	di	12	10	ecoli	plate	1	3
accutab	10	9.2	di	12	10	ecoli	plate	1	1
